 OTU# 	 CD-b_Sig_C1492 	 CD-b_Sig_C1675 	 CD-b_Sig_D0742 	 CD-b_Sig_D0743 	 CD-b_TIle_C1671 	 CD-b_TIle_D0756 	 CD-b_TIle_D0757 	 CD-b_TIle_D0758 	 CD-nb_Sig_C1670 	 CD-nb_Sig_C1673 	 CD-nb_Sig_D0745 	 CD-nb_Sig_D0746 	 CD-nb_TIle_C1669 	 CD-nb_TIle_C1672 	 CD-nb_TIle_C1674 	 CD-nb_TIle_C1686 	 CD-nb_TIle_D0759 	 CD-nb_TIle_D0760 	 Ctrl-nb_Sig_C1656 	 Ctrl-nb_Sig_C1663 	 Ctrl-nb_Sig_C1680 	 Ctrl-nb_Sig_C1684 	 Ctrl-nb_Sig_D0768 	 Ctrl-nb_TIle_C1655 	 Ctrl-nb_TIle_C1659 	 Ctrl-nb_TIle_C1662 	 Ctrl-nb_TIle_C1679 	 Ctrl-nb_TIle_C1683 	 Ctrl-nb_TIle_D0761 	 DCtrl-b_Sig_C1493 	 DCtrl-b_Sig_C1668 	 DCtrl-b_Sig_C1682 	 DCtrl-b_Sig_D0748 	 DCtrl-b_TIle_C1677 	 DCtrl-b_TIle_D0762 	 DCtrl-nb_Sig_C1649 	 DCtrl-nb_Sig_C1676 	 DCtrl-nb_Sig_D0749 	 DCtrl-nb_Sig_D0769 	 DCtrl-nb_TIle_C1648 	 DCtrl-nb_TIle_C1664 	 DCtrl-nb_TIle_C1681 	 DCtrl-nb_TIle_D0763 	 DCtrl-nb_TIle_D0764 	 UC-b_Sig_C1658 	 UC-b_Sig_C1661 	 UC-b_Sig_C1666 	 UC-b_Sig_C2485 	 UC-b_TIle_C1665 	 UC-b_TIle_D0765 	 UC-nb_Sig_C1494 	 UC-nb_Sig_D0751 	 UC-nb_Sig_D0752 	 UC-nb_Sig_D0754 	 UC-nb_TIle_C1650 	 UC-nb_TIle_C1653 	 UC-nb_TIle_C1660 	 UC-nb_TIle_C1678 	 UC-nb_TIle_C2484 	 CountZeros 	 CountNonZeros 
Otu00001	83	8331	1	9892	463	83	9	10949	589	299	2	1634	267	35	237	4	4058	6830	2198	6	88	15980	20	3494	3426	13	26	6716	56	6	2	17431	3906	7037	937	11505	13532	5694	3062	2958	28	14354	873	1946	1301	6015	5087	5078	6517	280	9917	6522	10680	1413	8501	17021	9098	10507	5683	0	59
Otu00002	26	3685	0	6171	13590	57	6865	6409	2	7764	2	5871	53	8	4577	2	8669	3436	1434	6703	3095	6175	11904	2742	8182	6158	2825	3565	510	78	3476	31	829	2546	624	4624	1553	4477	75	975	28	49	6030	4734	4806	4062	10471	7447	11547	1337	6808	24	3163	2	2978	9299	5689	7979	5800	1	58
Otu00003	19	5025	7123	18	24	63	24133	203	2117	14	0	398	7129	0	2828	5187	51	73	1	2	222	1688	1	1	2472	1	140	342	177	25511	3484	4389	10601	1	2302	7	7	17	1744	5	9	4132	1	7	266	190	546	3810	458	89	9	1	381	1541	1129	33	454	5	1442	2	57
Otu00004	16	2343	1	919	2562	20	73	1800	630	2142	1	2724	1168	5	229	450	2523	2588	1149	5126	593	5058	619	3355	1968	6637	375	2420	19	21	152	36	129	1381	8	3161	1713	1769	1471	732	11	7	5044	1814	302	1667	1937	1489	2586	892	3210	1542	1099	417	489	4167	2719	2854	2576	0	59
Otu00005	6	8266	1	659	82	9	0	275	1685	37	0	0	10199	2	87	0	10	2144	72	2	13	562	0	62	1186	2	10	332	2	0	0	16	0	915	0	6171	1555	148	2840	969	1	2	1	56	0	921	0	1224	0	129	1536	1	957	15	13	45	2331	1314	979	12	47
Otu00006	4	527	0	83	2021	13	145	939	0	1148	0	2310	8	1	155	0	1777	0	379	1487	3665	1366	268	667	272	1710	3133	799	12	13	1261	4	65	0	22	1037	14	89	0	201	5	4	239	46	350	1731	643	712	617	68	888	2	394	1423	111	1643	2347	693	740	7	52
Otu00007	41	545	256	327	31	2	133	64	32	17	0	291	571	1245	10	8	98	1091	8	871	1551	11	30	60	553	3237	1842	13	8	667	20	29	344	104	384	1016	99	69	115	346	177	568	367	16	6	648	32	2077	59	314	1074	173	157	7925	322	106	1296	635	2948	1	58
Otu00008	34	884	0	37	83	5	0	184	104	75	0	107	214	9	22	210	284	1075	57	1105	12	6564	44	174	5589	2145	0	4605	4	0	0	92	1	1372	1	1184	2429	0	120	192	5	35	682	19	38	329	74	811	112	177	468	226	106	15	17	147	451	203	1331	7	52
Otu00009	6	86	1	2	2965	0	0	30	117	2737	0	65	102	0	254	2972	143	74	405	802	3002	28	351	494	35	780	3319	1	42	418	3208	794	252	3	74	0	8	122	26	0	9	384	1117	111	32	19	314	182	235	163	8	2	42	242	296	47	20	5	128	6	53
Otu00010	2	44	0	258	1077	4	2	376	2	523	0	2005	8	1	105	3	5343	2649	11	807	5	111	1	7	1464	783	5	62	13	4	0	0	2	122	1	847	289	178	162	118	2	11	0	287	19	1948	213	415	117	29	473	785	482	18	126	699	2787	169	594	5	54
Otu00011	18	3	1	26	0	5	564	1	741	1	0	0	3279	0	1	1770	6	64	4	901	6	21	6448	5	27	879	2	10	198	168	1	2452	655	1	257	0	0	33	190	0	0	1544	2065	72	13	6	13	94	7	421	0	20	109	511	1741	1	9	1	27	9	50
Otu00012	32	3258	0	169	516	10	0	0	1	242	0	0	5	0	5419	0	8	668	0	0	500	7	614	1	289	1	914	0	20	3	0	3	557	0	440	0	0	0	2332	0	3	2	362	7	190	767	0	2721	2	351	0	0	482	0	14	3	1222	1	1754	20	39
Otu00013	0	854	0	278	121	1	0	6205	0	122	0	4	5	5	4	0	8	582	0	1	1	50	1	1	1181	2	2	19	12	5	3	5	2	54	6	1307	130	1133	387	538	6	0	0	1455	0	1958	312	0	397	12	847	10	118	1	1010	1266	2908	427	4	11	48
Otu00014	1	3	1	1	394	1	10	91	116	282	0	738	266	1	27	0	1261	0	63	939	2878	533	13	151	120	1137	1636	335	5	0	530	4	3	4	0	170	3	0	1123	25	1	0	512	9	840	1241	1063	1	757	129	300	31	280	2530	269	58	1848	417	0	8	51
Otu00015	11	463	0	127	514	4	4	49	121	333	0	861	156	0	33	1736	612	194	302	376	787	15	212	493	119	282	419	1	7	0	153	2352	1303	11	94	6	31	1743	77	1	1	1474	721	319	0	281	723	231	594	82	3	6	91	307	778	346	418	4	197	5	54
Otu00016	3	0	0	0	0	1	0	0	0	0	0	0	20	0	1	0	0	0	1259	1	5	2132	0	2457	1695	1	2	1365	1	2	0	3	0	0	0	3	1	0	0	0	1	1	1	0	1868	5	0	0	0	0	1699	0	0	0	763	0	0	2227	0	33	26
Otu00017	10	11	0	81	0	1	0	99	5	0	0	286	63	5	0	61	659	199	1	31	105	40	4717	6	4590	54	86	27	235	349	5	598	366	3	307	2005	35	250	131	417	3	147	0	25	0	254	46	450	36	1	4	1	27	9	134	461	560	1	423	8	51
Otu00018	1	416	1	1123	225	0	0	352	0	168	0	618	2	0	26	0	1569	166	0	0	4	833	993	0	961	5	2	412	45	1	0	8	177	178	17	121	275	1041	872	32	1	0	0	1022	110	151	333	1505	440	4	524	36	1187	1	27	72	244	433	993	12	47
Otu00019	2	1	7694	2	0	0	2510	12	2	0	25	4	4	0	1	7	1	42	0	0	1	0	349	0	16	3	0	0	16	60	0	160	2	0	2	5	0	0	2	2	7	127	13	2	0	0	0	0	0	0	1	2	0	0	104	1	0	3	1	23	36
Otu00020	1	136	0	34	19	2	1	339	72	34	0	119	90	13	1	7	89	2924	4	315	2	130	78	5	1958	799	1	71	8	1	0	0	1	370	0	2284	768	1	99	478	3	0	0	0	9	824	59	100	81	21	63	85	212	27	36	94	1373	26	200	8	51
Otu00021	1	0	0	1242	1	0	66	2819	816	0	0	1	1734	0	2	0	2	0	0	0	4	0	32	6	0	1	1	0	0	2	0	2	0	0	5	0	0	0	13	0	0	0	922	20	0	1	2899	0	3001	286	308	2	0	1	60	0	0	520	0	29	30
Otu00022	54	284	0	16	1002	3	0	109	296	514	0	453	369	1	46	948	1036	48	12	0	4	344	119	34	172	0	3	242	4	1	0	2	223	49	151	243	68	0	162	41	0	3	2501	70	0	345	377	452	486	436	396	38	128	0	23	71	626	365	510	10	49
Otu00023	3	12	0	4	1405	0	1	0	0	1396	0	0	2	1	102	0	0	0	310	0	1008	832	0	462	0	0	722	402	1	11	87	2	0	0	0	54	7	1	0	17	0	1	0	0	0	1751	0	329	6	0	420	0	0	0	490	6	3015	359	399	26	33
Otu00024	1	380	0	197	330	2	0	607	42	209	0	518	161	0	21	0	1161	337	0	492	450	452	80	0	236	1032	416	318	4	1	1	6	2	224	0	163	511	143	137	19	1	0	373	79	5	217	296	465	283	49	402	111	104	0	70	179	362	358	1024	10	49
Otu00025	0	5	0	3	3	0	0	3	426	0	0	2	166	0	0	0	6	0	0	0	4312	0	0	0	0	1	2753	0	2	0	46	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5554	0	0	24	0	0	1	0	41	18
Otu00026	1	294	3	227	9	4	0	184	9	7	0	588	10	0	0	664	950	177	11	237	1055	258	48	9	126	261	590	124	7	0	4	115	5	109	0	151	266	14	489	35	0	69	463	22	176	536	132	123	124	70	330	406	154	798	53	72	759	250	217	7	52
Otu00027	13	4	0	41	108	1	0	67	11	98	0	65	26	2	2	78	34	715	1	0	1794	57	0	1	51	0	1884	43	2	2	7	3	0	74	0	3114	151	74	21	777	10	0	0	38	10	217	6	81	3	21	248	359	380	113	66	254	462	101	136	10	49
Otu00028	0	590	0	506	1118	2	0	192	0	910	0	140	1	1	64	0	353	76	0	0	359	202	0	0	234	0	349	120	2	3	8	0	1	82	0	453	58	503	110	80	0	4	0	479	57	153	979	355	942	10	157	2	191	39	94	114	231	123	614	15	44
Otu00029	2	2	1196	73	0	1	2	3	0	0	0	1935	0	6	1	69	1466	1455	1	10	2	9	10	0	0	20	0	4	9	69	0	104	1	761	0	89	1315	26	3	7	1	14	366	9	0	148	54	19	52	266	45	806	20	11	68	2	487	28	46	11	48
Otu00030	0	12	0	106	318	0	225	30	48	197	0	158	50	1	10	606	396	0	0	16	12	388	218	1	0	25	10	236	29	18	26	795	2316	25	655	148	65	1	129	32	0	561	67	2	36	76	756	35	834	14	54	45	0	448	123	98	117	23	75	9	50
Otu00031	0	34	0	186	306	1	0	246	13	133	1	174	11	0	8	414	224	309	32	107	608	641	1390	147	191	217	437	345	81	1	22	21	44	98	25	186	89	70	165	43	0	4	113	67	3	233	489	73	474	44	497	87	133	80	97	150	387	366	146	5	54
Otu00032	0	0	0	2	0	0	1	2	83	0	0	395	55	0	3	419	1244	0	0	5	0	0	17	0	0	8	0	0	4	3	0	0	0	0	1	0	0	977	2	0	1	0	489	217	0	0	3472	0	2519	191	0	3	0	0	0	1	0	1	0	33	26
Otu00033	1	1577	0	1661	2421	12	0	13	0	1371	0	1	7	0	200	0	5	0	0	0	3	28	0	0	1	0	13	0	1	26	16	3	586	50	134	0	94	1	10	0	0	8	0	0	351	30	0	0	1	3	189	6	288	0	218	534	69	183	0	22	37
Otu00034	1	29	0	7	1736	0	0	33	10	1952	0	55	14	0	110	910	80	6	1	815	212	50	10	1	1	513	121	0	2	456	5	0	16	5	1	2	16	430	77	0	1	8	171	473	0	80	462	44	509	42	6	1	9	1	76	72	116	7	52	9	50
Otu00035	5	0	0	0	0	0	0	0	135	0	0	74	123	0	0	0	51	0	0	471	1	0	0	0	0	379	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4832	0	4009	0	0	0	0	0	0	0	0	0	0	46	13
Otu00036	0	1	0	280	7	0	0	188	0	5	0	62	1	0	2	0	81	48	1	10	1	225	0	0	474	4	0	173	6	1	0	0	0	7	0	128	10	618	658	11	0	0	0	530	6	101	742	149	976	3	728	4	4	113	65	1346	194	604	214	18	41
Otu00037	6	51	0	2	94	0	2	67	75	36	0	92	205	0	12	2899	194	23	25	198	223	1	383	19	43	247	159	0	7	800	102	24	61	0	15	11	0	92	141	0	4	24	512	142	0	21	332	85	301	81	0	3	162	698	97	322	25	0	35	11	48
Otu00038	0	400	0	354	0	2	0	1578	0	0	1	881	1	4	8	0	680	1	0	0	0	233	9	0	67	0	1	129	14	0	0	0	13	21	4	4	165	2203	37	1	0	0	1	754	0	12	115	0	133	6	365	11	101	1	195	0	0	193	1	21	38
Otu00039	0	8	0	0	2934	2	0	0	0	1544	0	0	0	0	156	0	2	0	0	0	1095	34	0	0	0	0	1270	0	1	4	0	1	1	0	0	0	8	0	0	0	0	10	0	0	0	0	416	0	280	0	0	0	0	0	43	9	0	1	1	38	21
Otu00040	1	58	17	97	0	7	9	31	4	1	0	10	45	106	22	9	9	1	0	2	9	5	275	44	18	46	16	1	7	80	0	46	992	26	1036	1432	0	12	16	545	20	142	38	0	2	59	34	913	25	20	13	1	103	12	83	192	85	47	899	6	53
Otu00041	2	0	0	318	0	1	0	336	0	0	0	4333	0	16	0	0	1008	0	149	0	0	9	0	199	34	1	1	12	4	2	0	0	0	0	0	75	0	15	31	13	1	0	1	2	0	265	9	0	26	5	39	2	0	0	76	0	488	11	1	26	33
Otu00042	3	723	0	344	736	4	1	162	3	326	0	53	18	5	753	4	120	179	0	0	3	437	196	1	31	1	4	300	14	5	0	1	0	104	0	201	100	527	162	31	0	0	2	391	27	129	0	15	2	16	24	2	195	1	37	151	254	22	22	10	49
Otu00043	2	234	0	82	0	5	0	75	12	0	0	198	60	0	2	399	577	41	55	120	2	169	128	159	332	136	1	125	14	0	0	390	234	28	44	249	70	0	112	57	0	214	90	0	60	218	342	184	292	20	147	155	144	179	75	159	366	63	174	11	48
Otu00044	1	0	0	203	7	10	0	295	0	14	0	0	3	0	0	0	2	412	36	187	2	826	0	73	333	92	0	501	2	0	0	0	2	156	0	128	311	918	485	39	0	1	1	806	0	265	0	0	0	7	264	27	148	0	43	1	423	178	1	21	38
Otu00045	1	1	0	0	237	0	459	188	0	98	1	0	0	0	13	2	1	0	0	0	1127	1298	5	2	24	0	757	1130	0	1	283	1	0	1	0	89	1	0	2	17	1	2	91	2	18	4	402	4	462	12	79	0	0	0	172	0	0	67	4	20	39
Otu00046	1	4	0	67	1784	0	1	0	2	1224	0	0	4	0	106	0	1	0	172	68	225	367	2	424	22	133	140	177	0	2	70	2	35	52	4	7	62	240	0	3	0	1	1	113	0	4	173	279	128	5	126	0	0	135	68	7	1	129	472	14	45
Otu00047	1	3	0	115	247	5	0	70	0	198	0	584	2	0	17	0	1732	390	0	0	3	124	8	1	1	1	2	91	3	1	3	1	0	129	0	142	164	0	265	25	0	4	136	4	293	132	43	118	46	21	403	71	1	0	25	62	224	236	147	13	46
Otu00048	2	1	0	1090	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4981	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	326	0	0	0	2	0	0	0	49	10
Otu00049	0	0	0	0	15	0	0	4	24	17	0	31	65	0	0	569	105	0	22	36	121	1	28	55	2	40	96	0	13	302	160	920	492	0	124	0	0	76	2	0	5	393	2	38	9	73	546	148	338	4	0	0	13	40	254	327	133	1	76	17	42
Otu00050	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	253	0	2654	89	0	1263	0	0	0	0	0	0	653	0	0	0	1	0	0	0	0	0	0	0	0	770	0	0	0	0	48	11
Otu00051	0	33	0	1	18	0	301	1	158	15	0	12	717	1	5	931	9	5	21	37	84	0	734	42	22	77	54	0	21	1	111	546	78	2	64	0	3	6	16	0	0	195	506	23	45	0	22	37	29	159	0	0	83	188	176	7	0	2	33	13	46
Otu00052	1	408	83	77	1	0	252	129	67	1	0	311	119	0	8	545	216	0	68	1	28	0	0	182	0	0	60	3	3	0	0	17	0	55	0	1872	139	0	0	212	0	7	0	0	0	26	27	3	21	50	34	323	8	5	39	2	126	19	2	18	41
Otu00053	2	1	0	241	512	0	1	3	0	427	0	1	1	0	32	0	5	1	329	0	1	45	2	378	43	0	5	12	8	1	286	2	195	0	22	0	9	1273	0	0	6	0	5	237	3	43	161	42	135	37	13	4	0	0	431	2	58	24	43	15	44
Otu00054	1	4	0	497	40	2	0	507	0	26	0	202	1	0	0	0	289	7	1	0	0	38	0	0	36	0	0	19	2	0	0	0	0	5	0	10	15	115	153	1	1	1	0	43	0	695	246	0	190	7	39	3	40	0	316	406	1439	14	1	22	37
Otu00055	0	41	0	4	60	0	0	18	0	41	0	6	0	0	2	338	11	3	0	51	0	3	0	0	1	13	0	0	5	0	7	0	4371	0	216	0	0	20	0	0	0	0	0	2	49	12	3	0	4	0	0	0	0	0	0	0	10	0	0	34	25
